Indeks;NUTId;Sezon;ImieNazwisko;Pozycja;Druzyna;Wynagrodzenie;Mecze;Wszystkie_zbiorki;Asysty;Przechwyty;Bloki;Straty;Punkty
1179;7;2006/07;Anthony Carter; PG;Denver Nuggets;37620;2;3;11;0;1;6;6
1180;7;2006/07;Von Wafer; SG;Denver Nuggets;23443;1;0;0;0;0;0;0
1187;7;2007/08;Allen Iverson; SG;Denver Nuggets;19 012 500;82;243;586;160;12;245;2164
1208;7;2007/08;Kenyon Martin; PF;Denver Nuggets;13 250 000;71;461;90;88;85;91;877
1212;7;2007/08;Carmelo Anthony; PF;Denver Nuggets;13 041 250;77;571;259;98;39;253;1978
1232;7;2007/08;Marcus Camby; C;Denver Nuggets;10 000 000;79;1037;259;85;285;118;721
1247;7;2007/08;Nene Hilario; C;Denver Nuggets;8 840 000;16;87;15;9;14;21;85
1344;7;2007/08;Steven Hunter; C;Denver Nuggets;3 638 600;19;29;0;0;6;7;39
1369;7;2007/08;Chucky Atkins; PG;Denver Nuggets;3 000 000;24;31;47;9;1;10;113
1485;7;2007/08;Linas Kleiza; SF;Denver Nuggets;1 011 360;79;333;95;44;19;89;880
1529;7;2007/08;Anthony Carter; PG;Denver Nuggets;770 610;70;200;388;107;28;124;545
1537;7;2007/08;Yakhouba Diawara; SG;Denver Nuggets;687 456;54;62;37;8;3;16;153
1553;7;2007/08;Jelani McCoy; PF;Denver Nuggets;634 620;6;7;0;0;5;4;3
1573;7;2007/08;Taurean Green; PG;Denver Nuggets;427 163;17;10;11;2;0;9;27
1630;7;2008/09;Kenyon Martin; PF;Denver Nuggets;14431816;66;395;132;96;74;104;769
1633;7;2008/09;Carmelo Anthony; PF;Denver Nuggets;14410581;66;450;222;75;24;199;1504
1654;7;2008/09;Chauncey Billups; PG;Denver Nuggets;11050000;79;239;506;93;18;177;1400
1670;7;2008/09;Nene Hilario; C;Denver Nuggets;9680000;77;598;108;95;101;147;1123
1834;7;2008/09;Jason Hart; PG;Denver Nuggets;2484000;39;46;48;12;4;22;78
1859;7;2008/09;Johan Petro; C;Denver Nuggets;1939893;49;158;16;19;15;28;162
1868;7;2008/09;Linas Kleiza; SF;Denver Nuggets;1824493;82;327;64;31;14;82;813
1896;7;2008/09;Renaldo Balkman; SF;Denver Nuggets;1369920;53;203;34;47;23;35;264
1970;7;2008/09;Anthony Carter; PG;Denver Nuggets;797581;78;205;364;96;13;155;412
1971;7;2008/09;Dahntay Jones; SG;Denver Nuggets;797581;79;168;78;49;19;68;429
1972;7;2008/09;Chris Andersen; PF;Denver Nuggets;797581;71;442;31;41;175;69;452
2014;7;2008/09;Sonny Weems; SG;Denver Nuggets;442114;12;4;3;1;0;6;19
2049;7;2009/10;Kenyon Martin; PF;Denver Nuggets;15852511;58;546;109;72;61;91;667
2052;7;2009/10;Carmelo Anthony; PF;Denver Nuggets;15779912;69;454;222;88;30;209;1943
2070;7;2009/10;Chauncey Billups; PG;Denver Nuggets;12100000;73;228;409;82;9;177;1427
2083;7;2009/10;Nene Hilario; C;Denver Nuggets;10520000;82;627;203;115;82;125;1135
2204;7;2009/10;Chris Andersen; PF;Denver Nuggets;3650000;76;483;33;42;143;59;448
2262;7;2009/10;Renaldo Balkman; SF;Denver Nuggets;2112417;13;23;7;8;2;6;14
2309;7;2009/10;Ty Lawson; G;Denver Nuggets;1438680;65;124;203;48;2;82;542
2317;7;2009/10;Malik Allen; PF;Denver Nuggets;1300000;51;82;16;11;5;22;105
2330;7;2009/10;Arron Afflalo; G;Denver Nuggets;1086240;82;252;138;46;30;74;724
2385;7;2009/10;Marcus Williams; SG;Denver Nuggets;825497;62;93;161;32;1;74;269
2387;7;2009/10;Anthony Carter; PG;Denver Nuggets;825497;54;89;160;39;13;58;180
2390;7;2009/10;Joey Graham; SF;Denver Nuggets;825497;63;123;22;23;7;43;266
2395;7;2009/10;Johan Petro; C;Denver Nuggets;825497;36;129;14;10;13;23;122
2472;7;2010/11;Kenyon Martin; PF;Denver Nuggets;16545454;48;297;109;43;35;59;414
2502;7;2010/11;Nene Hilario; C;Denver Nuggets;11360000;75;571;149;84;73;134;1091
2550;7;2010/11;Raymond Felton; G;Denver Nuggets;7000000;75;269;625;125;11;221;1164
2570;7;2010/11;Al Harrington; PF;Denver Nuggets;5765000;73;332;101;39;10;106;765
2600;7;2010/11;Chris Andersen; PF;Denver Nuggets;4533300;45;219;20;23;58;25;250
2634;7;2010/11;Timofey Mozgov; C;Denver Nuggets;3567096;45;121;15;15;25;35;163
2643;7;2010/11;Danilo Gallinari; PF;Denver Nuggets;3304560;62;305;104;51;27;83;970
2697;7;2010/11;Wilson Chandler; F;Denver Nuggets;2130482;72;408;120;48;94;104;1100
2708;7;2010/11;Arron Afflalo; G;Denver Nuggets;1959577;69;251;168;34;31;71;867
2729;7;2010/11;Ty Lawson; G;Denver Nuggets;1546560;80;209;377;80;4;137;933
2745;7;2010/11;Kosta Koufos; C;Denver Nuggets;1298640;50;130;7;10;25;31;160
2785;7;2010/11;Melvin Ely; C;Denver Nuggets;854389;30;74;14;4;11;14;69
2857;7;2010/11;Gary Forbes; F;Denver Nuggets;473604;63;116;49;23;6;46;326
2963;7;2011/12;Andre Miller; PG;Denver Nuggets;7807728;66;221;441;63;9;177;639
2964;7;2011/12;Arron Afflalo; G;Denver Nuggets;7750000;62;197;149;36;13;85;943
2991;7;2011/12;Al Harrington; PF;Denver Nuggets;6226200;64;390;88;58;12;112;910
3000;7;2011/12;Wilson Chandler; F;Denver Nuggets;5516664;8;41;17;6;6;18;75
3035;7;2011/12;Chris Andersen; PF;Denver Nuggets;4234000;32;148;6;19;46;17;168
3036;7;2011/12;Danilo Gallinari; PF;Denver Nuggets;4190182;43;202;116;42;23;68;628
3066;7;2011/12;Timofey Mozgov; C;Denver Nuggets;3343896;44;179;22;15;42;53;239
3081;7;2011/12;Corey Brewer; F;Denver Nuggets;3059000;59;150;88;72;17;56;525
3110;7;2011/12;JaVale McGee; C;Denver Nuggets;2462400;61;477;31;35;132;87;691
3124;7;2011/12;Kosta Koufos; C;Denver Nuggets;2203792;48;258;15;24;41;33;263
3149;7;2011/12;Ty Lawson; G;Denver Nuggets;1654440;61;227;401;82;6;149;999
3174;7;2011/12;Kenneth Faried; F;Denver Nuggets;1254720;46;352;36;34;47;54;471
3187;7;2011/12;Jordan Hamilton; SG;Denver Nuggets;1121520;26;62;20;4;3;16;115
3300;7;2011/12;Julyan Stone; G;Denver Nuggets;473604;22;25;37;8;6;11;36
3357;7;2012/13;Andre Iguodala; F;Denver Nuggets;14968250;80;423;433;139;52;206;1038
3394;7;2012/13;JaVale McGee; C;Denver Nuggets;10000000;79;381;24;30;157;90;717
3398;7;2012/13;Danilo Gallinari; PF;Denver Nuggets;9439000;71;367;176;64;36;111;1149
3445;7;2012/13;Wilson Chandler; F;Denver Nuggets;5930414;43;218;58;45;12;60;560
3463;7;2012/13;Andre Miller; PG;Denver Nuggets;5000000;82;238;484;73;11;172;786
3526;7;2012/13;Corey Brewer; F;Denver Nuggets;3243000;82;235;124;118;23;102;990
3531;7;2012/13;Timofey Mozgov; C;Denver Nuggets;3140429;41;107;9;6;18;25;108
3540;7;2012/13;Kosta Koufos; C;Denver Nuggets;3000000;81;562;32;44;103;53;648
3564;7;2012/13;Ty Lawson; G;Denver Nuggets;2544529;73;198;501;107;8;182;1216
3604;7;2012/13;Anthony Randolph; SF;Denver Nuggets;1674641;39;95;12;19;21;37;143
3622;7;2012/13;Evan Fournier; SG;Denver Nuggets;1361400;38;35;44;19;1;32;202
3625;7;2012/13;Kenneth Faried; F;Denver Nuggets;1311240;80;734;77;81;83;113;923
3640;7;2012/13;Jordan Hamilton; SG;Denver Nuggets;1121520;40;95;23;15;8;19;208
3715;7;2012/13;Julyan Stone; G;Denver Nuggets;762195;4;3;2;1;0;2;7
3824;7;2013/14;Ty Lawson; G;Denver Nuggets;10786517;62;215;543;100;10;200;1090
3825;7;2013/14;JaVale McGee; C;Denver Nuggets;10750000;5;17;2;1;7;8;35
3871;7;2013/14;Wilson Chandler; F;Denver Nuggets;6344164;62;294;114;46;31;79;846
3908;7;2013/14;Timofey Mozgov; C;Denver Nuggets;4400000;82;528;62;27;100;122;770
3937;7;2013/14;Jan Vesely; PF;Denver Nuggets;3340920;54;191;21;53;35;36;197
3943;7;2013/14;Darrell Arthur; F;Denver Nuggets;3231683;68;210;61;39;47;58;401
3961;7;2013/14;Randy Foye; SG;Denver Nuggets;3000000;81;232;287;67;39;145;1068
3999;7;2013/14;Nate Robinson; PG;Denver Nuggets;2016000;44;81;112;36;4;58;457
4009;7;2013/14;Anthony Randolph; SF;Denver Nuggets;1750000;43;122;32;26;19;39;206
4028;7;2013/14;Evan Fournier; SG;Denver Nuggets;1422720;76;202;112;34;7;100;638
4035;7;2013/14;Kenneth Faried; F;Denver Nuggets;1367640;80;684;96;70;69;135;1096
4085;7;2013/14;Aaron Brooks; G;Denver Nuggets;884293;72;140;233;52;13;117;645
4225;7;2014/15;Ty Lawson; G;Denver Nuggets;11595506;75;234;720;92;9;185;1143
4231;7;2014/15;Danilo Gallinari; PF;Denver Nuggets;10854850;59;218;83;47;20;57;734
4275;7;2014/15;Wilson Chandler; F;Denver Nuggets;6757913;78;475;134;58;29;110;1085
4354;7;2014/15;Darrell Arthur; F;Denver Nuggets;3457149;58;171;57;48;26;47;382
4382;7;2014/15;Randy Foye; SG;Denver Nuggets;3000000;50;85;119;34;11;60;435
4398;7;2014/15;Jameer Nelson; G;Denver Nuggets;2732000;63;146;253;47;6;109;523
4415;7;2014/15;Kenneth Faried; F;Denver Nuggets;2249768;75;668;89;62;57;118;946
4445;7;2014/15;Joffrey Lauvergne; F;Denver Nuggets;1790281;24;77;13;8;10;22;93
4448;7;2014/15;Jusuf Nurkic; C;Denver Nuggets;1762680;62;382;50;52;68;86;426
4458;7;2014/15;Gary Harris; SG;Denver Nuggets;1519200;55;64;29;39;7;38;188
4510;7;2014/15;Will Barton; SF;Denver Nuggets;915243;58;162;81;48;19;61;397
4569;7;2014/15;Jamaal Franklin; SG;Denver Nuggets;816482;3;2;3;0;1;3;3
4572;7;2014/15;Ian Clark; G;Denver Nuggets;816482;30;16;12;9;3;9;57
4585;7;2014/15;Erick Green; PG;Denver Nuggets;507336;43;31;39;12;0;14;146
4678;7;2015/16;Danilo Gallinari; PF;Denver Nuggets;14000000;53;281;135;42;19;77;1036
4704;7;2015/16;Kenneth Faried; F;Denver Nuggets;11235955;67;581;79;32;60;91;835
4795;7;2015/16;Jameer Nelson; G;Denver Nuggets;4345000;39;115;190;25;5;66;299
4822;7;2015/16;Will Barton; SF;Denver Nuggets;3533333;82;476;203;71;39;139;1178
4837;7;2015/16;Emmanuel Mudiay; G;Denver Nuggets;3102240;68;232;372;65;35;217;872
4841;7;2015/16;D.J. Augustin; G;Denver Nuggets;3000000;62;95;198;38;4;84;467
4858;7;2015/16;Darrell Arthur; F;Denver Nuggets;2814000;70;293;96;53;48;66;527
4902;7;2015/16;Jusuf Nurkic; C;Denver Nuggets;1842000;32;175;40;24;44;55;263
4908;7;2015/16;Joffrey Lauvergne; F;Denver Nuggets;1709719;59;290;56;13;15;54;465
4914;7;2015/16;Gary Harris; SG;Denver Nuggets;1584480;76;220;147;97;18;98;932
4935;7;2015/16;Nikola Jokic; C;Denver Nuggets;1300000;80;560;189;79;50;104;796
5007;7;2015/16;Mike Miller; SG;Denver Nuggets;947276;47;53;40;13;4;17;63
5041;7;2015/16;Kostas Papanikolaou; SF;Denver Nuggets;800321;26;40;16;13;5;21;67
5064;7;2015/16;JaKarr Sampson; SF;Denver Nuggets;258489;73;190;46;23;33;70;374
5143;7;2016/17;Danilo Gallinari; PF;Denver Nuggets;15050000;63;325;135;40;15;82;1145
5168;7;2016/17;Kenneth Faried; F;Denver Nuggets;12078652;61;462;55;43;40;59;587
5178;7;2016/17;Wilson Chandler; F;Denver Nuggets;11233146;71;460;141;51;30;114;1117
5208;7;2016/17;Darrell Arthur; F;Denver Nuggets;8070175;41;112;42;19;21;36;262
5268;7;2016/17;Roy Hibbert; C;Denver Nuggets;5000000;48;152;21;8;46;32;221
5276;7;2016/17;Jameer Nelson; G;Denver Nuggets;4540525;75;192;385;54;8;128;687
5304;7;2016/17;Will Barton; SF;Denver Nuggets;3533333;60;259;206;48;28;97;820
5307;7;2016/17;Mike Miller; SG;Denver Nuggets;3500000;20;38;22;2;0;13;28
5313;7;2016/17;Emmanuel Mudiay; G;Denver Nuggets;3241800;55;178;217;41;13;123;603
5315;7;2016/17;Jamal Murray; PG;Denver Nuggets;3210840;82;214;170;51;24;113;811
5351;7;2016/17;Mason Plumlee; C;Denver Nuggets;2328530;81;605;284;69;92;134;842
5380;7;2016/17;Gary Harris; SG;Denver Nuggets;1655880;57;178;164;71;8;76;851
5382;7;2016/17;Malik Beasley; SG;Denver Nuggets;1627320;22;17;11;7;0;8;83
5398;7;2016/17;Nikola Jokic; C;Denver Nuggets;1358500;73;718;359;61;55;171;1221
5434;7;2016/17;Jarnell Stokes; C;Denver Nuggets;980431;2;2;2;1;0;0;3
5532;7;2016/17;Alonzo Gee; SF;Denver Nuggets;57672;13;15;6;5;1;4;11
5628;7;2017/18;Darrell Arthur; F;Denver Nuggets;7464912;19;15;9;8;3;15;54
5629;7;2017/18;Devin Harris; G;Denver Nuggets;4402546;71;127;152;47;12;76;595
5630;7;2017/18;Gary Harris; SG;Denver Nuggets;2550055;67;176;194;122;15;119;1170
5631;7;2017/18;Jamal Murray; PG;Denver Nuggets;3355320;81;297;274;79;28;172;1352
5632;7;2017/18;Kenneth Faried; F;Denver Nuggets;12921348;32;153;18;12;13;23;188
5633;7;2017/18;Malik Beasley; SG;Denver Nuggets;1700640;62;71;31;15;7;24;196
5634;7;2017/18;Mason Plumlee; C;Denver Nuggets;14041096;74;400;142;49;81;103;524
5635;7;2017/18;Nikola Jokic; C;Denver Nuggets;1471382;75;803;458;90;61;210;1385
5636;7;2017/18;Paul Millsap; PF;Denver Nuggets;31269231;38;245;105;39;44;73;555
5637;7;2017/18;Richard Jefferson; F;Denver Nuggets;1454756;20;17;15;2;1;5;30
5638;7;2017/18;Trey Lyles; PF;Denver Nuggets;2441400;73;347;91;30;34;61;724
5639;7;2017/18;Tyler Lydon; F;Denver Nuggets;1579440;1;0;0;0;0;0;0
5640;7;2017/18;Will Barton; SF;Denver Nuggets;3533333;81;409;331;82;52;149;1268
5641;7;2017/18;Wilson Chandler; F;Denver Nuggets;12016854;74;398;159;43;39;92;738
5954;7;2018/19;Paul Millsap; PF;Denver Nuggets;29230769;70;505;141;83;54;95;883
5967;7;2018/19;Nikola Jokic; C;Denver Nuggets;24605181;80;865;580;108;55;248;1604
6005;7;2018/19;Gary Harris; SG;Denver Nuggets;16517857;57;160;127;55;19;68;737
6029;7;2018/19;Mason Plumlee; C;Denver Nuggets;12917808;82;524;243;66;76;126;637
6043;7;2018/19;Will Barton; SF;Denver Nuggets;11830358;43;199;124;18;22;65;494
6158;7;2018/19;Jamal Murray; PG;Denver Nuggets;3499800;75;317;363;67;27;158;1367
6167;7;2018/19;Trey Lyles; PF;Denver Nuggets;3364249;64;246;87;30;23;68;546
6215;7;2018/19;Juancho Hernangomez; PF;Denver Nuggets;2166360;70;265;55;27;24;37;408
6222;7;2018/19;Torrey Craig; SF;Denver Nuggets;2000000;75;263;72;37;46;44;430
6227;7;2018/19;Tyler Lydon; F;Denver Nuggets;1874640;25;18;6;2;0;4;23
6229;7;2018/19;Malik Beasley; SG;Denver Nuggets;1773840;81;200;97;55;10;55;917
6269;7;2018/19;Isaiah Thomas; G;Denver Nuggets;1512601;12;13;23;5;1;18;97
6323;7;2018/19;Monte Morris; PG;Denver Nuggets;1349383;82;194;297;73;4;52;851
6334;7;2018/19;Nick Young; G;Denver Nuggets;1042584;4;1;2;0;1;2;9
6343;7;2018/19;Jarred Vanderbilt; PF;Denver Nuggets;838464;17;23;3;6;1;8;24
6357;7;2018/19;Brandon Goodwin; G;Denver Nuggets;630032;16;3;14;0;0;3;23
6409;7;2019/20;Paul Millsap; PF;Denver Nuggets;30350000;51;293;83;44;30;70;591
6418;7;2019/20;Nikola Jokic; C;Denver Nuggets;27504630;73;711;512;85;44;226;1456
6453;7;2019/20;Gary Harris; SG;Denver Nuggets;17839286;56;163;118;76;14;60;581
6473;7;2019/20;Mason Plumlee; C;Denver Nuggets;14041096;61;317;154;33;38;82;437
6478;7;2019/20;Will Barton; SF;Denver Nuggets;12776786;58;365;212;61;29;88;874
6512;7;2019/20;Jerami Grant; SF;Denver Nuggets;9346153;71;248;88;50;57;63;851
6588;7;2019/20;Jamal Murray; PG;Denver Nuggets;4444746;59;236;284;67;17;127;1091
6621;7;2019/20;Michael Porter Jr.; SF;Denver Nuggets;3389400;55;259;46;27;25;49;512
6675;7;2019/20;Torrey Craig; SF;Denver Nuggets;2000000;58;189;47;23;36;25;315
6677;7;2019/20;Noah Vonleh; PF;Denver Nuggets;2000000;36;124;28;11;6;21;132
6743;7;2019/20;Monte Morris; PG;Denver Nuggets;1588231;73;137;255;55;17;53;660
6760;7;2019/20;Keita Bates-Diop; SF;Denver Nuggets;1416852;44;127;30;19;24;17;288
6802;7;2019/20;Vlatko Cancar; SF;Denver Nuggets;898310;14;10;3;1;1;3;17
6821;7;2019/20;Troy Daniels; G;Denver Nuggets;384541;47;52;17;11;3;12;200
6855;7;2020/21;Nikola Jokic; C;Denver Nuggets;29542010;72;780;599;95;48;222;1898
6868;7;2020/21;Jamal Murray; PG;Denver Nuggets;27285000;48;194;231;64;13;108;1018
6888;7;2020/21;Aaron Gordon; PF;Denver Nuggets;18136364;50;284;161;33;34;97;618
6910;7;2020/21;Will Barton; SF;Denver Nuggets;13723214;56;226;181;50;23;96;711
6985;7;2020/21;JaMychal Green; F;Denver Nuggets;7199760;58;277;53;26;22;53;471
7037;7;2020/21;JaVale McGee; C;Denver Nuggets;4200000;46;239;39;19;54;60;337
7064;7;2020/21;Michael Porter Jr.; SF;Denver Nuggets;3550800;61;445;70;40;54;77;1162
7077;7;2020/21;Facundo Campazzo; G;Denver Nuggets;3200000;65;134;232;79;14;73;396
7109;7;2020/21;Zeke Nnaji; PF;Denver Nuggets;2284800;42;65;10;8;4;7;136
7124;7;2020/21;Bol Bol; C;Denver Nuggets;2058240;32;24;7;3;10;13;69
7142;7;2020/21;P.J. Dozier; SG;Denver Nuggets;1762796;50;182;92;31;22;46;385
7180;7;2020/21;Shaquille Harrison; G;Denver Nuggets;1620564;34;48;25;17;5;11;73
7194;7;2020/21;Monte Morris; PG;Denver Nuggets;1588231;47;96;150;34;13;34;481
7217;7;2020/21;Vlatko Cancar; SF;Denver Nuggets;1517981;41;50;14;11;2;14;85
7240;7;2020/21;Paul Millsap; PF;Denver Nuggets;1000000;56;262;98;51;36;51;502
7277;7;2020/21;Austin Rivers; SG;Denver Nuggets;188696;36;82;81;30;2;36;285
7315;7;2021/22;Nikola Jokic;C;Denver Nuggets;31579390;74;1019;584;109;63;281;2004
7363;7;2021/22;Aaron Gordon;PF;Denver Nuggets;16409091;75;439;188;44;44;133;1126
7370;7;2021/22;Will Barton;SF;Denver Nuggets;15625000;71;340;276;55;31;127;1043
7435;7;2021/22;Monte Morris;PG;Denver Nuggets;8449074;75;226;333;56;14;78;945
7441;7;2021/22;JaMychal Green;F;Denver Nuggets;8200000;67;281;59;43;26;57;432
7480;7;2021/22;Michael Porter Jr.;SF;Denver Nuggets;5258735;9;59;17;10;2;12;89
7505;7;2021/22;Bryn Forbes;SG;Denver Nuggets;4500000;75;93;75;25;5;56;663
7507;7;2021/22;Jeff Green;PF;Denver Nuggets;4500000;75;231;96;28;27;71;772
7554;7;2021/22;Facundo Campazzo;G;Denver Nuggets;3200000;65;117;220;63;23;67;332
7578;7;2021/22;Zeke Nnaji;PF;Denver Nuggets;2498760;41;147;17;16;13;23;270
7593;7;2021/22;Bol Bol;C;Denver Nuggets;2161152;14;20;5;1;2;4;33
7597;7;2021/22;Bones Hyland;PG;Denver Nuggets;2096880;69;188;191;41;20;86;698
7616;7;2021/22;P.J. Dozier;SG;Denver Nuggets;1910860;18;63;29;11;6;13;97
7642;7;2021/22;Vlatko Cancar;SF;Denver Nuggets;1782621;15;31;17;2;3;9;62
7677;7;2021/22;Austin Rivers;SG;Denver Nuggets;1669178;67;114;90;51;6;54;403
7770;7;2021/22;DeMarcus Cousins;C;Denver Nuggets;431684;48;270;71;35;21;85;430
1;7;2003/04;Kevin Garnett; PF;Minnesota Timberwolves;28000000;82;1139;409;120;178;212;1987
12;7;2003/04;Latrell Sprewell; SG;Minnesota Timberwolves;13500000;82;310;286;88;21;158;1375
102;7;2003/04;Wally Szczerbiak; SG;Minnesota Timberwolves;3912000;28;88;33;12;1;28;285
136;7;2003/04;Quincy Lewis; SG;Minnesota Timberwolves;2350000;14;7;2;2;2;3;16
164;7;2003/04;Mark Madsen; PF;Minnesota Timberwolves;1474000;72;272;28;33;18;47;259
177;7;2003/04;Trenton Hassell; SF;Minnesota Timberwolves;587000;81;257;133;36;54;46;406
190;7;2004/05;Latrell Sprewell; SG;Minnesota Timberwolves;14625000;80;254;179;53;21;127;1021
299;7;2004/05;Eddie Griffin; PF;Minnesota Timberwolves;2937000;70;453;53;23;118;55;527
320;7;2004/05;Mark Madsen; PF;Minnesota Timberwolves;2212000;41;128;18;7;14;24;88
335;7;2005/06;Kevin Garnett; PF;Minnesota Timberwolves;18000000;76;966;308;104;107;180;1656
431;7;2005/06;Ricky Davis; SG;Minnesota Timberwolves;5909800;78;351;394;91;17;213;1516
438;7;2005/06;Mark Blount; C;Minnesota Timberwolves;5515875;81;365;99;40;76;194;914
448;7;2005/06;Marko Jaric; PG;Minnesota Timberwolves;5280528;75;233;293;108;21;127;587
449;7;2005/06;Troy Hudson; PG;Minnesota Timberwolves;5253000;36;44;106;12;4;40;342
476;7;2005/06;Trenton Hassell; SF;Minnesota Timberwolves;4350000;77;216;203;43;29;124;710
545;7;2005/06;Eddie Griffin; PF;Minnesota Timberwolves;2500000;70;389;40;13;148;43;320
570;7;2005/06;Mark Madsen; PF;Minnesota Timberwolves;2000000;62;141;11;23;17;26;74
588;7;2005/06;Marcus Banks; PG;Minnesota Timberwolves;1724280;58;135;220;54;11;119;578
607;7;2005/06;Rashad McCants; SG;Minnesota Timberwolves;1538400;79;143;63;44;22;86;627
652;7;2005/06;Anthony Carter; PG;Minnesota Timberwolves;965185;45;62;101;24;9;40;150
690;7;2005/06;Ronald Dupree; SF;Minnesota Timberwolves;719373;36;49;14;12;0;14;80
716;7;2005/06;Justin Reed; SF;Minnesota Timberwolves;641748;72;124;41;23;15;52;325
738;7;2005/06;Bracey Wright; SG;Minnesota Timberwolves;398762;7;18;5;1;0;8;62
754;7;2006/07;Kevin Garnett; PF;Minnesota Timberwolves;21000000;76;975;313;89;126;205;1704
831;7;2006/07;Mark Blount; C;Minnesota Timberwolves;7288165;82;505;67;43;58;159;1010
846;7;2006/07;Ricky Davis; SG;Minnesota Timberwolves;6364400;81;315;385;80;23;210;1374
861;7;2006/07;Troy Hudson; PG;Minnesota Timberwolves;5603000;34;48;73;14;2;40;202
863;7;2006/07;Marko Jaric; PG;Minnesota Timberwolves;5525000;70;184;145;75;16;88;371
881;7;2006/07;Mike James; PG;Minnesota Timberwolves;5215000;82;163;297;55;7;129;828
895;7;2006/07;Trenton Hassell; SF;Minnesota Timberwolves;4350000;76;243;203;22;26;80;512
957;7;2006/07;Eddie Griffin; PF;Minnesota Timberwolves;2700000;13;25;4;0;7;6;18
973;7;2006/07;Randy Foye; SG;Minnesota Timberwolves;2448240;82;218;232;53;21;152;832
980;7;2006/07;Mark Madsen; PF;Minnesota Timberwolves;2210000;56;87;10;10;10;21;61
1017;7;2006/07;Rashad McCants; SG;Minnesota Timberwolves;1653720;37;47;38;26;7;40;184
1025;7;2006/07;Justin Reed; SF;Minnesota Timberwolves;1529873;41;46;17;5;3;22;106
1123;7;2006/07;Bracey Wright; SG;Minnesota Timberwolves;664209;19;21;15;9;1;6;67
1146;7;2006/07;Craig Smith; PF;Minnesota Timberwolves;412718;82;416;49;51;18;74;608
1254;7;2007/08;Antoine Walker; PF;Minnesota Timberwolves;8 329 640;46;168;45;33;8;46;368
1281;7;2007/08;Marko Jaric; PG;Minnesota Timberwolves;6 050 000;75;222;311;97;32;128;621
